,item_id_a,item_id_b,mode,s_id,d_id
1,9606.ENSP00000000233,9606.ENSP00000250971,reaction,0,1
2,9606.ENSP00000000233,9606.ENSP00000250971,reaction,0,1
3,9606.ENSP00000000233,9606.ENSP00000019317,activation,0,2
4,9606.ENSP00000000233,9606.ENSP00000216373,reaction,0,3
5,9606.ENSP00000000233,9606.ENSP00000012443,catalysis,0,4
6,9606.ENSP00000000233,9606.ENSP00000005340,binding,0,5
7,9606.ENSP00000000233,9606.ENSP00000006101,reaction,0,6
8,9606.ENSP00000000233,9606.ENSP00000006101,reaction,0,6
9,9606.ENSP00000000233,9606.ENSP00000006101,binding,0,6
10,9606.ENSP00000000233,9606.ENSP00000005340,binding,0,5
11,9606.ENSP00000000233,9606.ENSP00000006101,binding,0,6
12,9606.ENSP00000000233,9606.ENSP00000006101,reaction,0,6
13,9606.ENSP00000000233,9606.ENSP00000006101,catalysis,0,6
14,9606.ENSP00000000233,9606.ENSP00000006101,catalysis,0,6
15,9606.ENSP00000000233,9606.ENSP00000216373,catalysis,0,3
16,9606.ENSP00000000233,9606.ENSP00000211287,ptmod,0,7
17,9606.ENSP00000000233,9606.ENSP00000178640,catalysis,0,8
18,9606.ENSP00000000233,9606.ENSP00000020673,catalysis,0,9
19,9606.ENSP00000000233,9606.ENSP00000019317,inhibition,0,2
20,9606.ENSP00000000233,9606.ENSP00000019317,catalysis,0,2
21,9606.ENSP00000000233,9606.ENSP00000019317,inhibition,0,2
22,9606.ENSP00000000233,9606.ENSP00000020673,catalysis,0,9
23,9606.ENSP00000000233,9606.ENSP00000020673,binding,0,9
24,9606.ENSP00000000233,9606.ENSP00000020673,binding,0,9
25,9606.ENSP00000000233,9606.ENSP00000178640,catalysis,0,8
26,9606.ENSP00000000233,9606.ENSP00000020673,reaction,0,9
27,9606.ENSP00000000233,9606.ENSP00000020673,reaction,0,9
28,9606.ENSP00000000233,9606.ENSP00000020673,reaction,0,9
29,9606.ENSP00000000233,9606.ENSP00000178640,binding,0,8
30,9606.ENSP00000000233,9606.ENSP00000078429,activation,0,10
31,9606.ENSP00000000233,9606.ENSP00000178640,binding,0,8
32,9606.ENSP00000000233,9606.ENSP00000211287,inhibition,0,7
33,9606.ENSP00000000233,9606.ENSP00000202677,inhibition,0,11
34,9606.ENSP00000000233,9606.ENSP00000178640,reaction,0,8
35,9606.ENSP00000000233,9606.ENSP00000178640,inhibition,0,8
36,9606.ENSP00000000233,9606.ENSP00000178640,reaction,0,8
37,9606.ENSP00000000233,9606.ENSP00000202677,catalysis,0,11
38,9606.ENSP00000000233,9606.ENSP00000178640,reaction,0,8
39,9606.ENSP00000000233,9606.ENSP00000202677,activation,0,11
40,9606.ENSP00000000233,9606.ENSP00000211287,inhibition,0,7
41,9606.ENSP00000000233,9606.ENSP00000211287,binding,0,7
42,9606.ENSP00000000233,9606.ENSP00000211287,activation,0,7
43,9606.ENSP00000000233,9606.ENSP00000211287,binding,0,7
44,9606.ENSP00000000233,9606.ENSP00000211287,inhibition,0,7
45,9606.ENSP00000000233,9606.ENSP00000211287,catalysis,0,7
46,9606.ENSP00000000233,9606.ENSP00000211287,catalysis,0,7
47,9606.ENSP00000000233,9606.ENSP00000216373,catalysis,0,3
48,9606.ENSP00000000233,9606.ENSP00000215659,reaction,0,12
49,9606.ENSP00000000233,9606.ENSP00000215659,catalysis,0,12
50,9606.ENSP00000000233,9606.ENSP00000211287,reaction,0,7
51,9606.ENSP00000000233,9606.ENSP00000211287,reaction,0,7
52,9606.ENSP00000000233,9606.ENSP00000211287,reaction,0,7
53,9606.ENSP00000000233,9606.ENSP00000215659,binding,0,12
54,9606.ENSP00000000233,9606.ENSP00000215659,activation,0,12
55,9606.ENSP00000000233,9606.ENSP00000215659,binding,0,12
56,9606.ENSP00000000233,9606.ENSP00000215659,reaction,0,12
57,9606.ENSP00000000233,9606.ENSP00000215659,inhibition,0,12
58,9606.ENSP00000000233,9606.ENSP00000215659,catalysis,0,12
59,9606.ENSP00000000233,9606.ENSP00000215659,inhibition,0,12
60,9606.ENSP00000000233,9606.ENSP00000215659,reaction,0,12
61,9606.ENSP00000000233,9606.ENSP00000215659,inhibition,0,12
62,9606.ENSP00000000233,9606.ENSP00000215659,ptmod,0,12
63,9606.ENSP00000000233,9606.ENSP00000216373,binding,0,3
64,9606.ENSP00000000233,9606.ENSP00000215832,inhibition,0,13
65,9606.ENSP00000000233,9606.ENSP00000215832,binding,0,13
66,9606.ENSP00000000233,9606.ENSP00000215832,activation,0,13
67,9606.ENSP00000000233,9606.ENSP00000215832,binding,0,13
68,9606.ENSP00000000233,9606.ENSP00000215832,inhibition,0,13
69,9606.ENSP00000000233,9606.ENSP00000215832,catalysis,0,13
70,9606.ENSP00000000233,9606.ENSP00000215832,catalysis,0,13
71,9606.ENSP00000000233,9606.ENSP00000216373,binding,0,3
72,9606.ENSP00000000233,9606.ENSP00000215832,reaction,0,13
73,9606.ENSP00000000233,9606.ENSP00000215832,inhibition,0,13
74,9606.ENSP00000000233,9606.ENSP00000215832,ptmod,0,13
75,9606.ENSP00000000233,9606.ENSP00000216373,activation,0,3
76,9606.ENSP00000000233,9606.ENSP00000215832,reaction,0,13
77,9606.ENSP00000000233,9606.ENSP00000215832,reaction,0,13
78,9606.ENSP00000000233,9606.ENSP00000250971,reaction,0,1
79,9606.ENSP00000000233,9606.ENSP00000230449,reaction,0,14
80,9606.ENSP00000000233,9606.ENSP00000223369,catalysis,0,15
81,9606.ENSP00000000233,9606.ENSP00000219476,activation,0,16
82,9606.ENSP00000000233,9606.ENSP00000219255,binding,0,17
83,9606.ENSP00000000233,9606.ENSP00000217073,binding,0,18
84,9606.ENSP00000000233,9606.ENSP00000216373,reaction,0,3
85,9606.ENSP00000000233,9606.ENSP00000216373,reaction,0,3
86,9606.ENSP00000000233,9606.ENSP00000219255,binding,0,17
87,9606.ENSP00000000233,9606.ENSP00000217073,binding,0,18
88,9606.ENSP00000000233,9606.ENSP00000219255,activation,0,17
89,9606.ENSP00000000233,9606.ENSP00000219409,reaction,0,19
90,9606.ENSP00000000233,9606.ENSP00000219409,binding,0,19
91,9606.ENSP00000000233,9606.ENSP00000219255,reaction,0,17
92,9606.ENSP00000000233,9606.ENSP00000219409,activation,0,19
93,9606.ENSP00000000233,9606.ENSP00000219409,reaction,0,19
94,9606.ENSP00000000233,9606.ENSP00000219409,binding,0,19
95,9606.ENSP00000000233,9606.ENSP00000219409,reaction,0,19
96,9606.ENSP00000000233,9606.ENSP00000223369,binding,0,15
97,9606.ENSP00000000233,9606.ENSP00000222547,binding,0,20
98,9606.ENSP00000000233,9606.ENSP00000221138,catalysis,0,21
99,9606.ENSP00000000233,9606.ENSP00000219476,inhibition,0,16
100,9606.ENSP00000000233,9606.ENSP00000219476,inhibition,0,16
101,9606.ENSP00000000233,9606.ENSP00000222345,inhibition,0,22
102,9606.ENSP00000000233,9606.ENSP00000222345,activation,0,22
103,9606.ENSP00000000233,9606.ENSP00000222345,catalysis,0,22
104,9606.ENSP00000000233,9606.ENSP00000223369,binding,0,15
105,9606.ENSP00000000233,9606.ENSP00000222547,catalysis,0,20
106,9606.ENSP00000000233,9606.ENSP00000222547,binding,0,20
107,9606.ENSP00000000233,9606.ENSP00000222547,catalysis,0,20
108,9606.ENSP00000000233,9606.ENSP00000222547,reaction,0,20
109,9606.ENSP00000000233,9606.ENSP00000222547,reaction,0,20
110,9606.ENSP00000000233,9606.ENSP00000222547,reaction,0,20
111,9606.ENSP00000000233,9606.ENSP00000230449,binding,0,14
112,9606.ENSP00000000233,9606.ENSP00000229794,activation,0,23
113,9606.ENSP00000000233,9606.ENSP00000228307,catalysis,0,24
114,9606.ENSP00000000233,9606.ENSP00000223369,reaction,0,15
115,9606.ENSP00000000233,9606.ENSP00000223369,catalysis,0,15
116,9606.ENSP00000000233,9606.ENSP00000223369,reaction,0,15
117,9606.ENSP00000000233,9606.ENSP00000225567,binding,0,25
118,9606.ENSP00000000233,9606.ENSP00000223369,reaction,0,15
119,9606.ENSP00000000233,9606.ENSP00000225567,binding,0,25
120,9606.ENSP00000000233,9606.ENSP00000229264,activation,0,26
121,9606.ENSP00000000233,9606.ENSP00000228945,binding,0,27
122,9606.ENSP00000000233,9606.ENSP00000228945,activation,0,27
123,9606.ENSP00000000233,9606.ENSP00000228945,binding,0,27
124,9606.ENSP00000000233,9606.ENSP00000228945,reaction,0,27
125,9606.ENSP00000000233,9606.ENSP00000228945,reaction,0,27
126,9606.ENSP00000000233,9606.ENSP00000228945,reaction,0,27
127,9606.ENSP00000000233,9606.ENSP00000230449,binding,0,14
128,9606.ENSP00000000233,9606.ENSP00000229794,inhibition,0,23
129,9606.ENSP00000000233,9606.ENSP00000229794,catalysis,0,23
130,9606.ENSP00000000233,9606.ENSP00000229794,binding,0,23
131,9606.ENSP00000000233,9606.ENSP00000229794,binding,0,23
132,9606.ENSP00000000233,9606.ENSP00000229794,inhibition,0,23
133,9606.ENSP00000000233,9606.ENSP00000229794,catalysis,0,23
134,9606.ENSP00000000233,9606.ENSP00000229794,inhibition,0,23
135,9606.ENSP00000000233,9606.ENSP00000230449,activation,0,14
136,9606.ENSP00000000233,9606.ENSP00000229794,reaction,0,23
137,9606.ENSP00000000233,9606.ENSP00000229794,ptmod,0,23
138,9606.ENSP00000000233,9606.ENSP00000229794,reaction,0,23
139,9606.ENSP00000000233,9606.ENSP00000229812,binding,0,28
140,9606.ENSP00000000233,9606.ENSP00000229794,reaction,0,23
141,9606.ENSP00000000233,9606.ENSP00000229812,binding,0,28
142,9606.ENSP00000000233,9606.ENSP00000250971,catalysis,0,1
143,9606.ENSP00000000233,9606.ENSP00000248901,binding,0,29
144,9606.ENSP00000000233,9606.ENSP00000240874,binding,0,30
145,9606.ENSP00000000233,9606.ENSP00000238081,catalysis,0,31
146,9606.ENSP00000000233,9606.ENSP00000238081,activation,0,31
147,9606.ENSP00000000233,9606.ENSP00000232461,activation,0,32
148,9606.ENSP00000000233,9606.ENSP00000232564,activation,0,33
149,9606.ENSP00000000233,9606.ENSP00000238081,catalysis,0,31
150,9606.ENSP00000000233,9606.ENSP00000238081,binding,0,31
151,9606.ENSP00000000233,9606.ENSP00000238081,binding,0,31
152,9606.ENSP00000000233,9606.ENSP00000240874,binding,0,30
153,9606.ENSP00000000233,9606.ENSP00000238081,reaction,0,31
154,9606.ENSP00000000233,9606.ENSP00000238081,inhibition,0,31
155,9606.ENSP00000000233,9606.ENSP00000238081,inhibition,0,31
156,9606.ENSP00000000233,9606.ENSP00000240139,catalysis,0,34
157,9606.ENSP00000000233,9606.ENSP00000238081,reaction,0,31
158,9606.ENSP00000000233,9606.ENSP00000238081,reaction,0,31
159,9606.ENSP00000000233,9606.ENSP00000248901,binding,0,29
160,9606.ENSP00000000233,9606.ENSP00000245796,binding,0,35
161,9606.ENSP00000000233,9606.ENSP00000240874,reaction,0,30
162,9606.ENSP00000000233,9606.ENSP00000240874,catalysis,0,30
163,9606.ENSP00000000233,9606.ENSP00000240874,reaction,0,30
164,9606.ENSP00000000233,9606.ENSP00000245787,binding,0,36
165,9606.ENSP00000000233,9606.ENSP00000240874,reaction,0,30
166,9606.ENSP00000000233,9606.ENSP00000245787,binding,0,36
167,9606.ENSP00000000233,9606.ENSP00000248901,activation,0,29
168,9606.ENSP00000000233,9606.ENSP00000245796,catalysis,0,35
169,9606.ENSP00000000233,9606.ENSP00000245796,binding,0,35
170,9606.ENSP00000000233,9606.ENSP00000245796,catalysis,0,35
171,9606.ENSP00000000233,9606.ENSP00000245796,reaction,0,35
172,9606.ENSP00000000233,9606.ENSP00000245796,reaction,0,35
173,9606.ENSP00000000233,9606.ENSP00000245796,reaction,0,35
174,9606.ENSP00000000233,9606.ENSP00000250971,catalysis,0,1
175,9606.ENSP00000000233,9606.ENSP00000248975,reaction,0,37
176,9606.ENSP00000000233,9606.ENSP00000248975,binding,0,37
177,9606.ENSP00000000233,9606.ENSP00000248901,reaction,0,29
178,9606.ENSP00000000233,9606.ENSP00000248901,catalysis,0,29
179,9606.ENSP00000000233,9606.ENSP00000248901,catalysis,0,29
180,9606.ENSP00000000233,9606.ENSP00000248975,activation,0,37
181,9606.ENSP00000000233,9606.ENSP00000248901,reaction,0,29
182,9606.ENSP00000000233,9606.ENSP00000248901,reaction,0,29
183,9606.ENSP00000000233,9606.ENSP00000248975,reaction,0,37
184,9606.ENSP00000000233,9606.ENSP00000248975,catalysis,0,37
185,9606.ENSP00000000233,9606.ENSP00000248975,binding,0,37
186,9606.ENSP00000000233,9606.ENSP00000248975,catalysis,0,37
187,9606.ENSP00000000233,9606.ENSP00000248975,reaction,0,37
188,9606.ENSP00000000233,9606.ENSP00000248975,inhibition,0,37
189,9606.ENSP00000000233,9606.ENSP00000248975,inhibition,0,37
190,9606.ENSP00000000233,9606.ENSP00000250971,binding,0,1
191,9606.ENSP00000000233,9606.ENSP00000249923,reaction,0,38
192,9606.ENSP00000000233,9606.ENSP00000249923,binding,0,38
193,9606.ENSP00000000233,9606.ENSP00000248996,activation,0,39
194,9606.ENSP00000000233,9606.ENSP00000249923,binding,0,38
195,9606.ENSP00000000233,9606.ENSP00000249923,reaction,0,38
196,9606.ENSP00000000233,9606.ENSP00000249923,catalysis,0,38
197,9606.ENSP00000000233,9606.ENSP00000249923,catalysis,0,38
198,9606.ENSP00000000233,9606.ENSP00000250971,binding,0,1
199,9606.ENSP00000000233,9606.ENSP00000250244,binding,0,40
200,9606.ENSP00000000233,9606.ENSP00000249923,reaction,0,38
201,9606.ENSP00000000233,9606.ENSP00000250244,binding,0,40
202,9606.ENSP00000000233,9606.ENSP00000250244,reaction,0,40
203,9606.ENSP00000000233,9606.ENSP00000250244,reaction,0,40
204,9606.ENSP00000000233,9606.ENSP00000250244,reaction,0,40
205,9606.ENSP00000000233,9606.ENSP00000254878,binding,0,41
206,9606.ENSP00000000233,9606.ENSP00000251849,catalysis,0,42
207,9606.ENSP00000000233,9606.ENSP00000251849,reaction,0,42
208,9606.ENSP00000000233,9606.ENSP00000260404,reaction,0,43
209,9606.ENSP00000000233,9606.ENSP00000253339,binding,0,44
210,9606.ENSP00000000233,9606.ENSP00000251849,reaction,0,42
211,9606.ENSP00000000233,9606.ENSP00000251337,activation,0,45
212,9606.ENSP00000000233,9606.ENSP00000251849,binding,0,42
213,9606.ENSP00000000233,9606.ENSP00000251849,binding,0,42
214,9606.ENSP00000000233,9606.ENSP00000251849,activation,0,42
215,9606.ENSP00000000233,9606.ENSP00000251849,activation,0,42
216,9606.ENSP00000000233,9606.ENSP00000254878,binding,0,41
217,9606.ENSP00000000233,9606.ENSP00000253401,activation,0,46
218,9606.ENSP00000000233,9606.ENSP00000251849,reaction,0,42
219,9606.ENSP00000000233,9606.ENSP00000251849,catalysis,0,42
220,9606.ENSP00000000233,9606.ENSP00000251849,ptmod,0,42
221,9606.ENSP00000000233,9606.ENSP00000253339,binding,0,44
222,9606.ENSP00000000233,9606.ENSP00000251849,inhibition,0,42
223,9606.ENSP00000000233,9606.ENSP00000251849,inhibition,0,42
224,9606.ENSP00000000233,9606.ENSP00000254695,inhibition,0,47
225,9606.ENSP00000000233,9606.ENSP00000254584,binding,0,48
226,9606.ENSP00000000233,9606.ENSP00000253401,catalysis,0,46
227,9606.ENSP00000000233,9606.ENSP00000253754,catalysis,0,49
228,9606.ENSP00000000233,9606.ENSP00000254695,catalysis,0,47
229,9606.ENSP00000000233,9606.ENSP00000254584,binding,0,48
230,9606.ENSP00000000233,9606.ENSP00000254695,activation,0,47
231,9606.ENSP00000000233,9606.ENSP00000260404,reaction,0,43
232,9606.ENSP00000000233,9606.ENSP00000256682,catalysis,0,50
233,9606.ENSP00000000233,9606.ENSP00000255194,reaction,0,51
234,9606.ENSP00000000233,9606.ENSP00000255194,catalysis,0,51
235,9606.ENSP00000000233,9606.ENSP00000255194,binding,0,51
236,9606.ENSP00000000233,9606.ENSP00000255194,binding,0,51
237,9606.ENSP00000000233,9606.ENSP00000255194,reaction,0,51
238,9606.ENSP00000000233,9606.ENSP00000255194,catalysis,0,51
239,9606.ENSP00000000233,9606.ENSP00000255194,reaction,0,51
240,9606.ENSP00000000233,9606.ENSP00000256658,reaction,0,52
241,9606.ENSP00000000233,9606.ENSP00000256658,catalysis,0,52
242,9606.ENSP00000000233,9606.ENSP00000256658,binding,0,52
243,9606.ENSP00000000233,9606.ENSP00000256658,binding,0,52
244,9606.ENSP00000000233,9606.ENSP00000256658,reaction,0,52
245,9606.ENSP00000000233,9606.ENSP00000256658,catalysis,0,52
246,9606.ENSP00000000233,9606.ENSP00000256658,reaction,0,52
247,9606.ENSP00000000233,9606.ENSP00000260404,catalysis,0,43
248,9606.ENSP00000000233,9606.ENSP00000258739,catalysis,0,53
249,9606.ENSP00000000233,9606.ENSP00000256682,reaction,0,50
250,9606.ENSP00000000233,9606.ENSP00000256682,catalysis,0,50
251,9606.ENSP00000000233,9606.ENSP00000256682,reaction,0,50
252,9606.ENSP00000000233,9606.ENSP00000258739,catalysis,0,53
253,9606.ENSP00000000233,9606.ENSP00000258739,binding,0,53
254,9606.ENSP00000000233,9606.ENSP00000258739,binding,0,53
255,9606.ENSP00000000233,9606.ENSP00000260404,catalysis,0,43
256,9606.ENSP00000000233,9606.ENSP00000258739,reaction,0,53
257,9606.ENSP00000000233,9606.ENSP00000258739,reaction,0,53
258,9606.ENSP00000000233,9606.ENSP00000258739,reaction,0,53
259,9606.ENSP00000000233,9606.ENSP00000260404,binding,0,43
260,9606.ENSP00000000233,9606.ENSP00000260404,activation,0,43
261,9606.ENSP00000000233,9606.ENSP00000260404,binding,0,43
262,9606.ENSP00000000233,9606.ENSP00000262305,binding,0,54
263,9606.ENSP00000000233,9606.ENSP00000261890,binding,0,55
264,9606.ENSP00000000233,9606.ENSP00000261842,binding,0,56
265,9606.ENSP00000000233,9606.ENSP00000261722,binding,0,57
266,9606.ENSP00000000233,9606.ENSP00000261558,binding,0,58
267,9606.ENSP00000000233,9606.ENSP00000260404,reaction,0,43
268,9606.ENSP00000000233,9606.ENSP00000261558,binding,0,58
269,9606.ENSP00000000233,9606.ENSP00000261558,reaction,0,58
270,9606.ENSP00000000233,9606.ENSP00000261558,reaction,0,58
271,9606.ENSP00000000233,9606.ENSP00000261558,reaction,0,58
272,9606.ENSP00000000233,9606.ENSP00000261842,binding,0,56
273,9606.ENSP00000000233,9606.ENSP00000261722,catalysis,0,57
274,9606.ENSP00000000233,9606.ENSP00000261722,binding,0,57
275,9606.ENSP00000000233,9606.ENSP00000261722,catalysis,0,57
276,9606.ENSP00000000233,9606.ENSP00000261722,reaction,0,57
277,9606.ENSP00000000233,9606.ENSP00000261722,reaction,0,57
278,9606.ENSP00000000233,9606.ENSP00000261722,reaction,0,57
279,9606.ENSP00000000233,9606.ENSP00000261845,reaction,0,59
280,9606.ENSP00000000233,9606.ENSP00000261845,catalysis,0,59
281,9606.ENSP00000000233,9606.ENSP00000261842,reaction,0,56
282,9606.ENSP00000000233,9606.ENSP00000261842,reaction,0,56
283,9606.ENSP00000000233,9606.ENSP00000261842,reaction,0,56
284,9606.ENSP00000000233,9606.ENSP00000261845,binding,0,59
285,9606.ENSP00000000233,9606.ENSP00000261845,activation,0,59
286,9606.ENSP00000000233,9606.ENSP00000261845,binding,0,59
287,9606.ENSP00000000233,9606.ENSP00000261845,reaction,0,59
288,9606.ENSP00000000233,9606.ENSP00000261845,inhibition,0,59
289,9606.ENSP00000000233,9606.ENSP00000261845,catalysis,0,59
290,9606.ENSP00000000233,9606.ENSP00000261845,inhibition,0,59
291,9606.ENSP00000000233,9606.ENSP00000261845,reaction,0,59
292,9606.ENSP00000000233,9606.ENSP00000261845,inhibition,0,59
293,9606.ENSP00000000233,9606.ENSP00000261845,ptmod,0,59
294,9606.ENSP00000000233,9606.ENSP00000262305,binding,0,54
295,9606.ENSP00000000233,9606.ENSP00000262061,reaction,0,60
296,9606.ENSP00000000233,9606.ENSP00000262039,activation,0,61
297,9606.ENSP00000000233,9606.ENSP00000261890,catalysis,0,55
298,9606.ENSP00000000233,9606.ENSP00000261890,binding,0,55
299,9606.ENSP00000000233,9606.ENSP00000261890,catalysis,0,55
300,9606.ENSP00000000233,9606.ENSP00000261890,reaction,0,55
301,9606.ENSP00000000233,9606.ENSP00000261890,reaction,0,55
302,9606.ENSP00000000233,9606.ENSP00000261890,reaction,0,55
303,9606.ENSP00000000233,9606.ENSP00000262061,reaction,0,60
304,9606.ENSP00000000233,9606.ENSP00000262061,binding,0,60
305,9606.ENSP00000000233,9606.ENSP00000262039,binding,0,61
306,9606.ENSP00000000233,9606.ENSP00000262039,binding,0,61
307,9606.ENSP00000000233,9606.ENSP00000262061,catalysis,0,60
308,9606.ENSP00000000233,9606.ENSP00000262061,binding,0,60
309,9606.ENSP00000000233,9606.ENSP00000262061,catalysis,0,60
310,9606.ENSP00000000233,9606.ENSP00000262225,reaction,0,62
311,9606.ENSP00000000233,9606.ENSP00000262215,reaction,0,63
312,9606.ENSP00000000233,9606.ENSP00000262215,binding,0,63
313,9606.ENSP00000000233,9606.ENSP00000262061,reaction,0,60
314,9606.ENSP00000000233,9606.ENSP00000262215,binding,0,63
315,9606.ENSP00000000233,9606.ENSP00000262215,reaction,0,63
316,9606.ENSP00000000233,9606.ENSP00000262215,catalysis,0,63
317,9606.ENSP00000000233,9606.ENSP00000262215,catalysis,0,63
318,9606.ENSP00000000233,9606.ENSP00000262225,reaction,0,62
319,9606.ENSP00000000233,9606.ENSP00000262225,binding,0,62
320,9606.ENSP00000000233,9606.ENSP00000262215,reaction,0,63
321,9606.ENSP00000000233,9606.ENSP00000262225,binding,0,62
322,9606.ENSP00000000233,9606.ENSP00000262225,reaction,0,62
323,9606.ENSP00000000233,9606.ENSP00000262225,catalysis,0,62
324,9606.ENSP00000000233,9606.ENSP00000262225,catalysis,0,62
325,9606.ENSP00000000412,9606.ENSP00000227378,binding,64,65
326,9606.ENSP00000000412,9606.ENSP00000223023,reaction,64,66
327,9606.ENSP00000000412,9606.ENSP00000223023,reaction,64,66
328,9606.ENSP00000000412,9606.ENSP00000227378,binding,64,65
329,9606.ENSP00000000412,9606.ENSP00000223023,reaction,64,66
330,9606.ENSP00000000412,9606.ENSP00000223023,catalysis,64,66
331,9606.ENSP00000000412,9606.ENSP00000223023,catalysis,64,66
332,9606.ENSP00000000412,9606.ENSP00000223023,binding,64,66
333,9606.ENSP00000000412,9606.ENSP00000223023,binding,64,66
334,9606.ENSP00000000412,9606.ENSP00000221957,reaction,64,67
335,9606.ENSP00000000412,9606.ENSP00000221957,catalysis,64,67
336,9606.ENSP00000000412,9606.ENSP00000054666,binding,64,68
337,9606.ENSP00000000412,9606.ENSP00000005340,catalysis,64,5
